Case ID;enlarge;poltrans;ecotrans;reform;conflict;attention
AL04;3;6.68;5.79;5.49;0;0.38
AL05;3;6.97;5.88;5.41;0;-0.79
AL06;6;7.25;5.96;5.32;0;2.58
AL07;6;7.38;6.3;5.46;0;-0.74
AL08;6;7.5;6.64;5.6;0;-0.5
AL09;10;7.53;6.72;5.73;0;-0.51
AL10;11;7.55;6.79;5.85;0;2.93
AL11;11;7.4;6.79;5.64;0;1.73
AL12;11;7.25;6.79;5.42;0;-0.96
AL13;12;6.98;6.59;5.3;0;0
BA04;2;5.73;5.95;4.35;2;0.38
BA05;3;6.27;6.19;4.52;2;-0.79
BA06;3;6.8;6.43;4.69;2.5;2.58
BA07;4;6.75;6.38;4.64;2;-0.74
BA08;6;6.7;6.32;4.59;2;-0.5
BA09;6;6.6;6.34;4.54;2;-0.51
BA10;6;6.5;6.36;4.49;2;2.93
BA11;6;6.45;6.4;4.26;1.67;1.73
BA12;6;6.4;6.43;4.03;1;-0.96
BA13;6;6.38;6.41;3.99;1;0
HR04;15;8.63;8.11;6.85;2;0.38
HR05;17;8.87;8.21;6.86;2;-0.79
HR06;17;9.1;8.32;6.88;1.67;2.58
HR07;17;8.98;8.31;6.88;1.67;-0.74
HR08;17;8.85;8.29;6.87;1.67;-0.5
HR09;17;8.68;8.2;6.74;1.33;-0.51
HR10;17;8.5;8.11;6.61;1;2.93
HR11;21;8.45;8.11;6.5;1;1.73
HR12;21;8.4;8.11;6.39;1;-0.96
HR13;23;8.43;8;6.43;1;0
KS08;1;7.75;6.64;5.41;2;-0.5
KS09;1;7.35;6.32;5.41;2;-0.51
KS10;1;6.95;6;5.4;3;2.93
KS11;1;6.83;5.93;5.38;3;1.73
KS12;2;6.7;5.86;5.35;3;-0.96
KS13;3;6.65;5.86;5.28;2;0
ME06;3;7.75;6.64;5.41;1;2.58
ME07;5;7.8;6.68;5.77;1;-0.74
ME08;7;7.85;6.71;6.13;1;-0.5
ME09;9;7.83;6.8;6.14;1;-0.51
ME10;14;7.8;6.89;6.14;1;2.93
ME11;15;7.7;6.93;6.12;1;1.73
ME12;17;7.6;6.96;6.09;1;-0.96
ME13;17;7.75;7.04;6.26;1;0
MK04;11;7.05;6.2;5.41;2.5;0.38
MK05;14;7.3;6.41;5.47;2.5;-0.79
MK06;14;7.55;6.61;5.53;2.5;2.58
MK07;14;7.65;6.95;6.03;2.5;-0.74
MK08;14;7.75;7.29;6.52;1.67;-0.5
MK09;15;7.85;7.2;6.49;1.33;-0.51
MK10;15;7.95;7.11;6.46;2;2.93
MK11;15;7.78;7.11;6.46;1;1.73
MK12;15;7.6;7.11;6.45;2;-0.96
MK13;15;7.4;7.13;6.29;2;0
RS04;1;7.27;5.97;6.25;1.83;0.38
RS05;3;7.33;6.24;5.78;2.17;-0.79
RS06;3;7.4;6.5;5.31;2;2.58
RS07;4;7.58;6.57;5.36;1.83;-0.74
RS08;5;7.75;6.64;5.41;1.83;-0.5
RS09;6;7.88;6.72;5.68;1.67;-0.51
RS10;9;8;6.79;5.95;1.67;2.93
RS11;11;8.03;6.88;5.98;1.33;1.73
RS12;12;8.05;6.96;6.01;1.5;-0.96
RS13;16;8;7.02;6.07;1.17;0
TR04;7;6.88;6.64;6.93;1.88;0.38
TR05;8;6.97;6.72;6.72;2.13;-0.79
TR06;8;7.05;6.79;6.52;2;2.58
TR07;8;7.05;7.04;6.43;2.17;-0.74
TR08;8;7.05;7.29;6.33;2.33;-0.5
TR09;8;7.35;7.36;6.34;2;-0.51
TR10;8;7.65;7.43;6.34;2.2;2.93
TR11;8;7.65;7.43;6.47;2.2;1.73
TR12;8;7.65;7.43;6.6;2.4;-0.96
TR13;8;7.6;7.45;6.63;2.33;0.5
